Trait,Stratum,Feature,Total width (bp),Proportion of SNPs,Coefficient,Coefficient_std_error,Coefficient_z-score,Coefficient_p,Coefficient_holm,Proportion of h2,Proportion of h2 standard error,Enrichment,Enrichment_std_error
ADHD,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,9.549102904769585e-8,3.601848347133318e-8,2.651167396420129,0.004010703723486834,0.24064222340921004,0.1267232261643313,0.03495537158002392,5.225000689416325,1.4412657105776625
Alzheimers disease,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,-3.5271906543473666e-8,5.412931509551286e-8,-0.6516229972841018,0.7426777958308707,1,-0.030979116564789175,0.09700263882507888,-1.277318375706666,3.9995734805471637
Anorexia nervosa,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.1986460466229688e-7,1.5807639383380567e-7,0.7582701107688291,0.22414464834937745,1,0.08631878132666948,0.08529120246188245,3.559060999256442,3.516692284069382
Anxiety disorder,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.8323111479054072e-7,1.2199772131230192e-7,1.5019224360878631,0.06655857077665633,1,0.3661004031043795,0.2602739388680672,15.094903408909527,10.73150953605956
Autism spectrum disorder,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.1592018066678705e-7,1.5864691333217512e-7,0.73068034058799,0.23248721321079574,1,0.08829303266132175,0.05683749576962145,3.6404625299534463,2.343500584461597
Bipolar disorder,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,3.2168811849263597e-7,1.5360826270677467e-7,2.0942110328186687,0.01812059269574557,1,0.18478795917046653,0.07054285424740855,7.619102222109358,2.9085943692605487
BMI,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,8.999469118337061e-8,3.061102659289977e-8,2.9399435824293745,0.0016413600657934834,0.10340568414498945,0.1111236849971064,0.02748785475261692,4.581806731841164,1.1333680839750035
Childhood cognitive performance,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.8379984287039502e-7,1.2973383174272546e-7,1.4167456584099636,0.07827865133640362,1,0.1543752296622131,0.10579398217790967,6.365136887912526,4.362054585785674
Cigarettes per day,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,-6.956456958675494e-8,4.8896888108796884e-8,-1.4226788713419127,0.9225853658445408,1,-0.06610665305220452,0.06909823072988147,-2.72568271995269,2.8490302380156747
College attainment,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,7.646398230556022e-8,2.778923218714985e-8,2.7515687295929783,0.002965528626469762,0.17793171758818574,0.19993754475049547,0.05720586000387598,8.243743793318844,2.3586888292387647
Conscientiousness,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,2.831592452949287e-7,1.0853413317489456e-7,2.608941878576014,0.004541133347433107,0.29517366758315194,0.9356308924952184,1.3192737433384993,38.57755366792215,54.395760170543554
Coronary artery disease,Non-brain-linked,Amygdala_CG-VMRs,62173217,0.02425324582655458,-3.72261718408124e-8,3.6200988183552705e-8,-1.0283192174772033,0.8481001529254821,1,-0.007966055210520368,0.0665603567563841,-0.3284531591148279,2.744389647158401
