filename,Description,Sample_ID_for_Data_Sharing_and_Public_Release,Tissue,Hippocampus Group
GTEX-1399T-0011-R4b-SM-AFUJC.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-1399T-0011-R4b-SM-AFUJC.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R4b-SM-AFUJC,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13N2G-0011-R4b-SM-AFUKD.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R4b-SM-AFUKD,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13NYS-0011-R4b-SM-AFUKI.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R4b-SM-AFUKI,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3O-0011-R4b-SM-AFUMT.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13O3O-0011-R4b-SM-AFUMT,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13O3Q-0011-R4a-SM-AFUKU.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13O3Q-0011-R4a-SM-AFUKU,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OVH-0011-R4a-SM-AFUN1.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R4a-SM-AFUN1,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-13OW7-0011-R4b-SM-AFUNF.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13OW7-0011-R4b-SM-AFUNF,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-P44H-0011-R4a-SM-AFUNL.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-P44H-0011-R4a-SM-AFUNL,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-QDT8-0011-R4a-SM-AFUNT.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-QDT8-0011-R4a-SM-AFUNT,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-WZTO-0011-R4a-SM-AFUOO.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-WZTO-0011-R4a-SM-AFUOO,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-X4XX-0011-R4b-SM-AFUOG.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-X4XX-0011-R4b-SM-AFUOG,Brain - Amygdala,
GTEX-12WSC-0011-R3a-SM-AFULY.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
