DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-06-18	25223841	Li J	2014-09-13	Schizophr Res	www.ncbi.nlm.nih.gov/pubmed/25223841	A genetic locus in 7p12.2 associated with treatment resistant schizophrenia.	Schizophrenia (treatment resistant)	79 European ancestry treatment resistant cases, 95 European ancestry non-treatment resistant cases	70 European ancestry treatment resistant cases, 125 European ancestry non-treatment resistant cases	7p12.1	7	50658447	DDC, GRB10, LOC100128600	GRB10			ENSG00000106070			rs2237457-T	rs2237457	0	2237457	intron_variant	0	0.36	6E-7	6.221848749616356	(Recessive model)	1.74	[NR]	Illumina [552419]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST002604	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma norclozapine levels in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	4q13.2	4	68815224	UGT2B10	AC021146.8 - UGT2B10	ENSG00000251236	ENSG00000275190		497	770	rs11725502-T	rs11725502	0	11725502	intergenic_variant	1	0.0983607	5E-15	14.301029995663981			decrease	Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007686	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma norclozapine levels in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	2q37.1	2	233718962	UGT1A4	UGT1A4, UGT1A6, UGT1A5, UGT1A9, UGT1A7, UGT1A10, UGT1A8			ENSG00000244474, ENSG00000167165, ENSG00000240224, ENSG00000241119, ENSG00000244122, ENSG00000242515, ENSG00000242366			rs2011425-G	rs2011425	0	2011425	missense_variant	0	0.0864838	8E-9	8.096910013008056			decrease	Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007686	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	4q13.2	4	68794020	UGT2B4, UGT2B7, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B28	AC093720.1 - AC021146.8	ENSG00000250376	ENSG00000251236		6546	19975	rs10023464-T	rs10023464	0	10023464	intergenic_variant	1	0.101	9E-66	65.04575749056067				Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007684	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	10q23.33	10	94787706	CYP2C8, CYP2C9, CYP2C18, CYP2C19, HELLS, NOC3L, PLCE1, TBC1D12	CYP2C19, AL583836.1			ENSG00000165841, ENSG00000276490			rs12767583-T	rs12767583	0	12767583	intron_variant	0	0.143	5E-14	13.301029995663981				Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007684	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	4q13.2	4	69164555	UGT2A3, UGT2B7, UGT2B11, UGT2B28	AC111000.6 - AC111000.1	ENSG00000251427	ENSG00000196472		16884	17105	rs7668556-A	rs7668556	0	7668556	intergenic_variant	1	0.466	4E-13	12.397940008672037				Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007684	Genome-wide genotyping array
2019-04-30	30922102	Pardinas AF	2019-03-29	Am J Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30922102	Pharmacogenomic Variants and Drug Interactions Identified Through the Genetic Analysis of Clozapine Metabolism.	Plasma clozapine levels in treatment-resistant schizophrenia	2,989 European ancestry individuals	NA	15q24.1	15	74735539	CYP1A2, CYP1A1	CYP1A1 - CYP1A2	ENSG00000140465	ENSG00000140505		10003	13306	rs2472297-T	rs2472297	0	2472297	intergenic_variant	1	0.280027	4E-10	9.397940008672037			decrease	Illumina [~ 7500000] (imputed)	N	treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST007685	Genome-wide genotyping array
2012-04-24	22479419	Liou YJ	2012-03-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22479419	Genome-wide association study of treatment refractory schizophrenia in Han Chinese.	Schizophrenia (treatment resistant)	522 Han Chinese ancestry cases, 806 Han Chinese ancestry controls	273 Han Chinese ancestry cases	1q23.3	1	160660353	SLAMF1	SLAMF1 - SETP9	ENSG00000117090	ENSG00000235101		13058	9795	rs11265461-C	rs11265461	0	11265461	intergenic_variant	1	0.41	2E-7	6.698970004336019		1.45	[1.26-1.67]	Affymetrix [694436]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST001458	Genome-wide genotyping array
2012-04-24	22479419	Liou YJ	2012-03-27	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22479419	Genome-wide association study of treatment refractory schizophrenia in Han Chinese.	Schizophrenia (treatment resistant)	522 Han Chinese ancestry cases, 806 Han Chinese ancestry controls	273 Han Chinese ancestry cases	4q24	4	102536261	NFKB1	NFKB1			ENSG00000109320			rs230529-T	rs230529	0	230529	intron_variant	0	0.47	2E-7	6.698970004336019		1.45	[1.26-1.66]	Affymetrix [694436]	N	treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	GCST001458	Genome-wide genotyping array
2019-01-30	30647433	Legge SE	2019-01-15	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30647433	A genome-wide association study in individuals of African ancestry reveals the importance of the Duffy-null genotype in the assessment of clozapine-related neutropenia.	Neutrophil level response to clozapine in treatment-resistant schizophrenia	552 Sub-Saharan African ancestry individuals	NA	1q23.2	1	159204893	ACKR1	CADM3-AS1, ACKR1			ENSG00000225670, ENSG00000213088			rs2814778-C	rs2814778	0	2814778	5_prime_UTR_variant	0	0.8838	4E-21	20.397940008672037		0.856	[0.68-1.03] unit decrease	Illumina [~ 13500000] (imputed)	N	neutrophil count, treatment refractory schizophrenia, response to clozapine	http://www.ebi.ac.uk/efo/EFO_0004833, http://www.ebi.ac.uk/efo/EFO_0004609, http://purl.obolibrary.org/obo/GO_0097338	GCST006987	Genome-wide genotyping array
